tabel,nama_constraint,jenis,definisi
transactions,transactions_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (branch_id) REFERENCES branches(id)
transactions,transactions_cash_session_id_fkey,FOREIGN KEY,FOREIGN KEY (cash_session_id) REFERENCES cash_sessions(id)
transactions,transactions_cashier_id_fkey,FOREIGN KEY,FOREIGN KEY (cashier_id) REFERENCES profiles(id)
transactions,transactions_reversal_of_fkey,FOREIGN KEY,FOREIGN KEY (reversal_of) REFERENCES transactions(id)
transactions,transactions_voided_by_fkey,FOREIGN KEY,FOREIGN KEY (voided_by) REFERENCES profiles(id)
transactions,transactions_pkey,PRIMARY KEY,PRIMARY KEY (id)
wastage_items,wastage_items_product_id_fkey,FOREIGN KEY,FOREIGN KEY (product_id) REFERENCES products(id)
wastage_items,wastage_items_wastage_id_fkey,FOREIGN KEY,FOREIGN KEY (wastage_id) REFERENCES wastages(id) ON DELETE CASCADE
wastage_items,wastage_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
wastages,wastages_approved_by_fkey,FOREIGN KEY,FOREIGN KEY (approved_by) REFERENCES profiles(id) ON DELETE SET NULL
wastages,wastages_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (branch_id) REFERENCES branches(id)
wastages,wastages_created_by_fkey,FOREIGN KEY,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL
wastages,wastages_pkey,PRIMARY KEY,PRIMARY KEY (id)
