table_name,ordinal_position,column_name,data_type,numeric_precision,numeric_scale,is_nullable,column_default
transactions,16,shipping_cost,numeric,14,2,NO,0
transactions,17,branch_id,uuid,null,null,NO,'00000000-0000-0000-0000-0000000000c1'::uuid
transactions,18,seq_no,bigint,64,0,YES,null
transactions,19,reversal_of,uuid,null,null,YES,null
transactions,20,prev_hash,text,null,null,YES,null
transactions,21,row_hash,text,null,null,YES,null
wastage_items,1,id,uuid,null,null,NO,gen_random_uuid()
wastage_items,2,wastage_id,uuid,null,null,NO,null
wastage_items,3,product_id,uuid,null,null,NO,null
wastage_items,4,qty,numeric,14,3,NO,null
wastages,1,id,uuid,null,null,NO,gen_random_uuid()
wastages,2,branch_id,uuid,null,null,NO,null
wastages,3,code,text,null,null,NO,null
wastages,4,status,USER-DEFINED,null,null,NO,'pending_approval'::wastage_status
wastages,5,reason,text,null,null,YES,null
wastages,6,photo_url,text,null,null,YES,null
wastages,7,created_by,uuid,null,null,YES,null
wastages,8,approved_by,uuid,null,null,YES,null
wastages,9,created_at,timestamp with time zone,null,null,NO,now()
wastages,10,updated_at,timestamp with time zone,null,null,NO,now()
